,description,indonesian_description,hs_code,id_,parent_id,depth,is_leaf
3402,"Palmitic acid, its salts and esters","Asam palmitat, garam dan esternya",2915.70.10,3403,3402,2,True
3403,Stearic acid,Asam stearat,2915.70.20,3404,3402,2,True
3404,Salts and esters of stearic acid,Garam dan ester dari asam stearat,2915.70.30,3405,3402,2,True
3405,Other,Lain-lain,2915.90,3406,3379,1,False
3406,Acetyl chloride,Asetil klorida,2915.90.10,3407,3406,2,True
3407,"Lauric acid, myristic acid, their salts and esters","Asam laurat, asam miristat, garam dan esternya",2915.90.20,3408,3406,2,True
3408,"Caprylic acid, its salts and esters","Asam kaprilat, garam dan esternya",2915.90.30,3409,3406,2,True
3409,"Capric acid, its salts and esters","Asam kaprat, garam dan esternya",2915.90.40,3410,3406,2,True
3410,Other,Lain-lain,2915.90.90,3411,3406,2,True
3411,"Unsaturated acyclic monocarboxylic acids, cyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives","Asam monokarboksilat asiklik tidak jenuh, asam monokarboksilat siklik, anhidrida, halida, peroksida dan asam peroksinya; turunan halogenasi, sulfonasi, nitrasi atau nitrosasinya",29.16,3412,0,0,False
3412,"Unsaturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives","Asam monokarboksilat asiklik tidak jenuh, anhidrida, halida, peroksida, asam peroksinya dan turunannya",,3413,3412,1,False
3413,Acrylic acid and its salts,Asam akrilik dan garamnya,2916.11.00,3414,3413,2,True
3414,Esters of acrylic acid,Ester dari asam akrilik,2916.12.00,3415,3413,2,True
3415,Methacrylic acid and its salts,Asam metakrilik dan garamnya,2916.13.00,3416,3413,2,True
3416,Esters of methacrylic acid,Ester dari asam metakrilik,2916.14,3417,3413,2,False
3417,Methyl methacrylate,Metil metakrilat,2916.14.10,3418,3417,3,True
3418,Other,Lain-lain,2916.14.90,3419,3417,3,True
3419,"Oleic, linoleic or linolenic acids, their salts and esters","Asam oleat, asam linoleat atau asam linolenat, garam dan esternya",2916.15.00,3420,3413,2,True
3420,Binapacryl (ISO),Binapakril (ISO),2916.16.00,3421,3413,2,True
3421,Other,Lain-lain,2916.19.00,3422,3413,2,True
3422,"Cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives","Asam monokarboksilat siklanik, asam monokarboksilat siklenik atau asam monokarboksilat sikloterpenik, anhidrida, halida, peroksida, asam peroksi dan turunannya",2916.20.00,3423,3412,1,True
3423,"Aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives","Asam monokarboksilat aromatik, anhidrida, halida, peroksida, asam peroksinya dan turunannya",,3424,3412,1,False
3424,"Benzoic acid, its salts and esters","Asam benzoat, garam dan esternya",2916.31.00,3425,3424,2,True
3425,Benzoyl peroxide and benzoyl chloride,Benzoil peroksida dan benzoil klorida,2916.32.00,3426,3424,2,True
3426,Phenylacetic acid and its salts,Asam fenilasetat dan garamnya,2916.34.00,3427,3424,2,True
3427,Other,Lain-lain,2916.39,3428,3424,2,False
3428,"2,4-Dichlorophenyl acetic acid and its salts and esters","Asam 2,4-Diklorofenil asetat serta garam dan esternya",2916.39.10,3429,3428,3,True
3429,Esters of phenylacetic acid,Ester dari asam fenilasetat,2916.39.20,3430,3428,3,True
3430,Other,Lain-lain,2916.39.90,3431,3428,3,True
3431,"Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives","Asam polikarboksilat, anhidrida, halida, peroksida dan asam peroksinya; turunan halogenasi, sulfonasi, nitrasi atau nitrosasinya",29.17,3432,0,0,False
3432,"Acyclic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives","Asam polikarboksilat asiklik, anhidrida, halida, peroksida, asam peroksinya dan turunannya",,3433,3432,1,False
3433,"Oxalic acid, its salts and esters","Asam oksalat, garam dan esternya",2917.11.00,3434,3433,2,True
3434,"Adipic acid, its salts and esters","Asam adipat, garam dan esternya",2917.12,3435,3433,2,False
3435,Dioctyl adipate,Dioktil adipat,2917.12.10,3436,3435,3,True
3436,Other,Lain-lain,2917.12.90,3437,3435,3,True
3437,"Azelaic acid, sebacic acid, their salts and esters","Asam azelat, asam sebasat, garam dan esternya",2917.13.00,3438,3433,2,True
3438,Maleic anhydride,Maleat anhidrida,2917.14.00,3439,3433,2,True
3439,Other,Lain-lain,2917.19.00,3440,3433,2,True
3440,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives","Asam polikarboksilat siklanik, asam polikarboksilat siklenik atau asam polikarboksilat sikloterpenik, anhidrida, halida, peroksida, asam peroksinya dan turunannya",2917.20.00,3441,3432,1,True
3441,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives","Asam polikarboksilat aromatik, anhidrida, halida, peroksida, asam peroksinya dan turunannya",,3442,3432,1,False
3442,Dioctyl orthophthalates,Dioktil ortoftalat,2917.32.00,3443,3442,2,True
3443,Dinonyl or didecyl orthophthalates,Dinonil atau didesil ortoftalat,2917.33.00,3444,3442,2,True
3444,Other esters of orthophthalic acid,Ester lainnya dari asam ortoftalat,2917.34,3445,3442,2,False
3445,Dibutyl orthophthalates,Dibutil ortoftalat,2917.34.10,3446,3445,3,True
3446,Other,Lain-lain,2917.34.90,3447,3445,3,True
3447,Phthalic anhydride,Ftalat anhidrida,2917.35.00,3448,3442,2,True
3448,Terephthalic acid and its salts,Asam tereftalat dan garamnya,2917.36.00,3449,3442,2,True
3449,Dimethyl terephthalate,Dimetil tereftalat,2917.37.00,3450,3442,2,True
3450,Other,Lain-lain,2917.39,3451,3442,2,False
3451,Trioctyltrimellitate,Trioktiltrimellitat,2917.39.10,3452,3451,3,True
3452,Other phthalic compounds of a kind used as plasticisers and esters of phthalic anhydride,Senyawa ftalat lainnya dari jenis yang digunakan sebagai peliat dan ester dari ftalat anhidrida,2917.39.20,3453,3451,3,True
3453,Other,Lain-lain,2917.39.90,3454,3451,3,True
3454,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives","Asam karboksilat dengan fungsi oksigen tambahan dan anhidrida, halida, peroksida dan asam peroksinya; turunan halogenasi, sulfonasi, nitrasi atau nitrosasinya",29.18,3455,0,0,False
3455,"Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives","Asam karboksilat dengan fungsi alkohol tetapi tanpa fungsi oksigen lainnya, anhidrida, halida, peroksida, asam peroksinya dan turunannya",,3456,3455,1,False
3456,"Lactic acid, its salts and esters","Asam laktat, garam dan esternya",2918.11.00,3457,3456,2,True
3457,Tartaric acid,Asam tartrat,2918.12.00,3458,3456,2,True
3458,Salts and esters of tartaric acid,Garam dan ester dari asam tartrat,2918.13.00,3459,3456,2,True
3459,Citric acid,Asam sitrat,2918.14.00,3460,3456,2,True
3460,Salts and esters of citric acid,Garam dan ester dari asam sitrat,2918.15,3461,3456,2,False
3461,Calcium citrate,Kalsium sitrat,2918.15.10,3462,3461,3,True
3462,Other,Lain-lain,2918.15.90,3463,3461,3,True
3463,"Gluconic acid, its salts and esters","Asam glukonat, garam dan esternya",2918.16.00,3464,3456,2,False
3464,"2,2-Diphenyl-2-hydroxyacetic acid (benzilic acid)","2,2-Difenil-2-asam hidroksiasetat (asam benzilat)",2918.17.00,3465,3464,3,True
3465,Chlorobenzilate (ISO),Klorobenzilat (ISO),2918.18.00,3466,3456,2,True
3466,Other,Lain-lain,2918.19.00,3467,3456,2,True
3467,"Carboxylic acids with phenol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives","Asam karboksilat dengan fungsi fenol tetapi tanpa fungsi oksigen lainnya, anhidrida, halida, peroksida, asam peroksinya dan turunannya",,3468,3455,1,False
3468,Salicylic acid and its salts,Asam salisilat dan garamnya,2918.21.00,3469,3468,2,True
3469,"O-Acetylsalicylic acid, its salts and esters","Asam o-asetilsalisilat, garam dan esternya",2918.22.00,3470,3468,2,True
3470,Other esters of salicylic acid and their salts,Ester lainnya dari asam salisilat dan garamnya,2918.23.00,3471,3468,2,True
3471,Other,Lain-lain,2918.29,3472,3468,2,False
3472,Alkyl sulphonic ester of phenol,Alkil sulfonat ester dari fenol,2918.29.10,3473,3472,3,True
3473,Other,Lain-lain,2918.29.90,3474,3472,3,True
3474,"Carboxylic acids with aldehyde or ketone function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives","Asam karboksilat dengan fungsi aldehida atau keton tetapi tanpa fungsi oksigen lainnya, anhidrida, halida, peroksida, asam peroksinya dan turunannya",2918.30.00,3475,3455,1,True
3475,Other,Lain-lain,,3476,3455,1,False
3476,"2,4,5-T (ISO) (2,4,5-trichlorophenoxyacetic acid), its salts and esters","2,4,5-T (ISO) (asam 2,4,5-triklorofenoksiasetat), garam dan esternya",2918.91.00,3477,3476,3,True
3477,Other,Lain-lain,2918.99.00,3478,3476,2,True
3478,SUB-CHAPTER VIII,SUB-BAB VIII,,3479,0,0,True
3479,"ESTERS OF INORGANIC ACIDS OF NON-METALS AND THEIR SALTS, AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES","ESTER DARI ASAM ANORGANIK BUKAN LOGAM DAN GARAMNYA, SERTA TURUNAN HALOGENASI, SULFONASI, NITRASI ATAU NITROSASINYA",,3480,0,0,True
3480,"Phosphoric esters and their salts, including lactophosphates; their halogenated, sulphonated, nitrated or nitrosated derivatives","Ester fosfat dan garamnya, termasuk laktofosfat; turunan halogenasi, sulfonasi, nitrasi atau nitrosasinya",29.19,3481,0,0,False
3481,"Tris(2,3-dibromopropyl) phosphate","Tris(2,3-dibromopropil) fosfat",2919.10.00,3482,3481,1,True
3482,Other,Lain-lain,2919.90.00,3483,3481,1,True
3483,"Esters of other inorganic acids of non-metals (excluding esters of hydrogen halides) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives","Ester dari asam anorganik bukan logam lainnya (tidak termasuk ester dari hidrogen halida) dan garamnya; turunan halogenasi, sulfonasi, nitrasi atau nitrosasinya",29.20,3484,0,0,False
3484,"Thiophosphoric esters (phosphorothioates) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives","Ester tiofosfat (fosforotioat) dan garamnya; turunan halogenasi, sulfonasi, nitrasi atau nitrosasinya",,3485,3484,1,False
3485,Parathion (ISO) and parathion-methyl (ISO) (methyl-parathion),Paration (ISO) dan paration-metil (ISO) (metil-paration),2920.11.00,3486,3485,2,True
3486,Other,Lain-lain,2920.19.00,3487,3485,2,True
3487,"Phosphite esters and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives","Ester fosfit dan garamnya; turunan halogenasi, sulfonasi, nitrasi atau nitrosasinya",,3488,3484,1,False
3488,Dimethyl phosphite,Dimetil fosfit,2920.21.00,3489,3488,2,True
3489,Diethyl phosphite,Dietil fosfit,2920.22.00,3490,3488,2,True
3490,Trimethyl phosphite,Trimetil fosfit,2920.23.00,3491,3488,2,True
3491,Triethyl phosphite,Trietil fosfit,2920.24.00,3492,3488,2,True
3492,Other,Lain-lain,2920.29.00,3493,3488,2,True
3493,Endosulfan (ISO),Endosulfan (ISO),2920.30.00,3494,3484,1,True
3494,Other,Lain-lain,2920.90.00,3495,3484,1,True
3495,SUB-CHAPTER IX,SUB-BAB IX,,3496,0,0,True
3496,NITROGEN-FUNCTION COMPOUNDS,SENYAWA BERFUNGSI NITROGEN,,3497,0,0,True
3497,Amine-function compounds,Senyawa berfungsi amina,29.21,3498,0,0,False
3498,Acyclic monoamines and their derivatives; salts thereof,Monoamina asiklik dan turunannya; garamnya,,3499,3498,1,False
3499,"Methylamine, di- or trimethylamine and their salts","Metilamina, di- atau trimetilamina dan garamnya",2921.11.00,3500,3499,2,False
3500,"2-(N,N-Dimethylamino)ethylchloride hydrochloride","2-(N,N-Dimetilamino)etilklorida hidroklorida",2921.12.00,3501,3500,3,True
3501,"2-(N,N-Diethylamino)ethylchloride hydrochloride","2-(N,N-Dietilamino)etilklorida hidroklorida",2921.13.00,3502,3500,3,True
3502,"2-(N,N-Diisopropylamino)ethylchloride hydrochloride","2-(N,N-Diisopropilamino)etilklorida hidroklorida",2921.14.00,3503,3500,3,True
3503,Other,Lain-lain,2921.19.00,3504,3499,2,True
3504,Acyclic polyamines and their derivatives; salts thereof,Poliamina asiklik dan turunannya; garamnya,,3505,3498,1,False
3505,Ethylenediamine and its salts,Etilenadiamina dan garamnya,2921.21.00,3506,3505,2,True
3506,Hexamethylenediamine and its salts,Heksametilenadiamina dan garamnya,2921.22.00,3507,3505,2,True
3507,Other,Lain-lain,2921.29.00,3508,3505,2,True
3508,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof","Mono- atau poliamina siklanik, siklenik atau sikloterpenik, dan turunannya; garamnya",2921.30.00,3509,3498,1,True
3509,Aromatic monoamines and their derivatives; salts thereof,Monoamina aromatik dan turunannya; garamnya,,3510,3498,1,False
3510,Aniline and its salts,Anilina dan garamnya,2921.41.00,3511,3510,2,True
3511,Aniline derivatives and their salts,Turunan anilina dan garamnya,2921.42.00,3512,3510,2,True
3512,Toluidines and their derivatives; salts thereof,Toluidina dan turunannya; garamnya,2921.43.00,3513,3510,2,True
3513,Diphenylamine and its derivatives; salts thereof,Difenilamina dan turunannya; garamnya,2921.44.00,3514,3510,2,False
3514,"1-Naphthylamine (alpha-naphthylamine), 2-naphthylamine (beta-naphthylamine) and their derivatives; salts therof","1-Naftilamina (alfa-naftilamina), 2-naftilamina (beta-naftilamina) dan turunannya; garamnya",2921.45.00,3515,3514,3,True
3515,"Amfetamine (INN), benzfetamine (INN), dexamfetamine (INN), etilamfetamine (INN), fencamfamin (INN), lefetamine (INN), levamfetamine (INN), mefenorex (INN) and phentermine (INN); salts thereof","Amfetamina (INN), benzfetamina (INN), deksamfetamina (INN), etilamfetamina (INN), fenkamfamina (INN), lefetamina (INN), levamfetamina (INN), mefenoreks (INN) dan fentermina (INN); garamnya",2921.46.00,3516,3510,2,True
3516,Other,Lain-lain,2921.49.00,3517,3510,2,True
3517,Aromatic polyamines and their derivatives; salts thereof,Poliamina aromatik dan turunannya; garamnya,,3518,3498,1,False
3518,"o-,m-, p-Phenylenediamine, diaminotoluenes and their derivatives; salts thereof","o-, m-, p-Fenilenadiamina, diaminotoluena dan turunannya; garamnya",2921.51.00,3519,3518,2,True
3519,Other,Lain-lain,2921.59.00,3520,3518,2,True
3520,Oxygen-function amino-compounds,Senyawa amino berfungsi oksigen,29.22,3521,0,0,False
3521,"Amino‐alcohols, other than those containing more than one kind of oxygen function, their ethers and esters; salts thereof","Amino-alkohol, selain yang mengandung lebih dari satu jenis fungsi oksigen, eter dan esternya; garamnya",,3522,3521,1,False
3522,Monoethanolamine and its salts,Monoetanolamina dan garamnya,2922.11.00,3523,3522,2,True
3523,Diethanolamine and its salts,Dietanolamina dan garamnya,2922.12.00,3524,3522,2,True
3524,Dextropropoxyphene (INN) and its salts,Dekstropropoksifena (INN) dan garamnya,2922.14.00,3525,3522,2,True
3525,Triethanolamine,Trietanolamina,2922.15.00,3526,3522,2,True
3526,Diethanolammonium perfluorooctane sulphonate,Dietanolammonium perfluorooktan sulfonat,2922.16.00,3527,3522,2,True
3527,Methyldiethanolamine and ethyldiethanolamine,Metildietanolamina dan etildietanolamina,2922.17.00,3528,3522,2,False
3528,"2-(N,N-Diisopropylamino)ethanol","2-(N,N-Diisopropilamino)etanol",2922.18.00,3529,3528,3,True
3529,Other,Lain-lain,2922.19,3530,3522,2,False
3530,"Ethambutol and its salts, esters and other derivatives","Etambutol dan garamnya, ester serta turunan lainnya",2922.19.10,3531,3530,3,True
3531,D-2-Amino-n-butyl-alcohol,D-2-Amino-n-butil alkohol,2922.19.20,3532,3530,3,True
3532,Other,Lain-lain,2922.19.90,3533,3530,3,True
3533,"Amino‐naphthols and other amino-phenols, other than those containing more than one kind of oxygen function, their ethers and esters; salts thereof","Amino-naftol dan amino-fenol lainnya, selain yang mengandung lebih dari satu jenis fungsi oksigen, eter dan esternya; garamnya",,3534,3521,1,False
3534,Aminohydroxynaphthalenesulphonic acids and their salts,Asam aminohidroksinaftalenasulfonat dan garamnya,2922.21.00,3535,3534,2,True
3535,Other,Lain-lain,2922.29.00,3536,3534,2,True
3536,"Amino-aldehydes, amino-ketones and amino-quinones, other than those containing more than one kind of oxygen function; salts thereof","Amino-aldehida, amino-keton dan amino-kinon, selain yang mengandung lebih dari satu jenis fungsi oksigen; garamnya",,3537,3521,1,False
3537,"Amfepramone (INN), methadone (INN) and normethadone (INN); salts thereof","Amfepramona (INN), metadona (INN) dan normetadona (INN); garamnya",2922.31.00,3538,3537,2,True
3538,Other,Lain-lain,2922.39.00,3539,3537,2,True
3539,"Amino‐acids, other than those containing more than one kind of oxygen function, and their esters; salts thereof","Asam amino, selain yang mengandung lebih dari satu jenis fungsi oksigen, dan esternya; garamnya",,3540,3521,1,False
3540,Lysine and its esters; salts thereof,Lisin dan esternya; garamnya,2922.41.00,3541,3540,2,True
3541,Glutamic acid and its salts,Asam glutamat dan garamnya,2922.42,3542,3540,2,False
3542,Glutamic acid,Asam glutamat,2922.42.10,3543,3542,3,True
3543,Monosodium glutamate (MSG),Monosodium glutamat (MSG),2922.42.20,3544,3542,3,True
3544,Other salts,Garam lainnya,2922.42.90,3545,3542,3,True
3545,Anthranilic acid and its salts,Asam antranilat dan garamnya,2922.43.00,3546,3540,2,True
3546,Tilidine (INN) and its salts,Tilidina (INN) dan garamnya,2922.44.00,3547,3540,2,True
3547,Other,Lain-lain,2922.49.00,3548,3540,2,True
3548,"Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function","Amino-alkohol-fenol, amino-asam-fenol dan senyawa amino lainnya dengan fungsi oksigen",2922.50,3549,3521,1,False
3549,"p-Aminosalicylic acid and its salts, esters and other derivatives","Asam p-Aminosalisilat dan garam, ester dan turunan lainnya",2922.50.10,3550,3549,2,True
3550,Other,Lain-lain,2922.50.90,3551,3549,2,True
3551,"Quaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids, whether or not chemically defined","Garam dan hidroksida amonium kuarterner; lesitin dan fosfoaminolipid lainnya, mempunyai rumus kimia tertentu maupun tidak",29.23,3552,0,0,False
3552,Choline and its salts,Kolina dan garamnya,2923.10.00,3553,3552,1,True
3553,Lecithins and other phosphoaminolipids,Lesitin dan fosfoaminolipid lainnya,2923.20,3554,3552,1,False
3554,"Lecithins, whether or not chemically defined","Lesitin, mempunyai rumus kimia tertentu maupun tidak",2923.20.10,3555,3554,2,True
3555,Other,Lain-lain,2923.20.90,3556,3554,2,True
3556,Tetraethylammonium perfluorooctane sulphonate,Tetraetilammonium perfluorooktan sulfonat,2923.30.00,3557,3552,1,True
3557,Didecyldimethylammonium perfluorooctane sulphonate,Didesildimetilammonium perfluorooktan sulfonat,2923.40.00,3558,3552,1,True
3558,Other,Lain-lain,2923.90.00,3559,3552,1,True
3559,Carboxyamide-function compounds; amide-function compounds of carbonic acid,Senyawa berfungsi karboksiamida; senyawa berfungsi amida dari asam karbonat,29.24,3560,0,0,False
3560,Acyclic amides (including acyclic carbamates) and their derivatives; salts thereof,Amida asiklik (termasuk karbamat asiklik) dan turunannya; garamnya,,3561,3560,1,False
3561,Meprobamate (INN),Meprobamat (INN),2924.11.00,3562,3561,2,True
3562,"Fluoroacetamide (ISO), monocrotophos (ISO) and phosphamidon (ISO)","Fluoroasetamida (ISO), monokrotofos (ISO) dan fosfamidon (ISO)",2924.12,3563,3561,2,False
3563,Fluoroacetamide (ISO) and phosphamidon (ISO),Fluoroasetamida (ISO) dan Fosfamidon (ISO),2924.12.10,3564,3563,3,True
3564,Monocrotophos (ISO),Monokrotofos ISO),2924.12.20,3565,3563,3,True
3565,Other,Lain-lain,2924.19,3566,3561,2,False
3566,Carisophrodol,Karisofrodol,2924.19.10,3567,3566,3,True
3567,Other,Lain-lain,2924.19.90,3568,3566,3,True
3568,Cyclic amides (including cyclic carbamates) and their derivatives; salts thereof,Amida siklik (termasuk karbamat siklik) dan turunannya; garamnya,,3569,3560,1,False
3569,Ureines and their derivatives; salts thereof,Ureine dan turunannya; garamnya,2924.21,3570,3569,2,False
3570,4-Ethoxyphenylurea (dulcin),4-Etoksifenilurea (dulsin),2924.21.10,3571,3570,4,True
3571,Diuron and monuron,Diuron dan monouron,2924.21.20,3572,3570,3,True
3572,Other,Lain-lain,2924.21.90,3573,3570,3,True
3573,2-Acetamidobenzoic acid (N-acetylanthranilic acid) and its salts,Asam 2-Asetamidobenzoat (asam N-asetilantranilat) dan garamnya,2924.23.00,3574,3569,2,True
3574,Ethinamate (INN),Etinamat (INN),2924.24.00,3575,3569,2,True
3575,Alachlor (ISO),Alaklor (ISO),2924.25.00,3576,3569,2,True
3576,Other,Lain-lain,2924.29,3577,3569,2,False
3577,Aspartame,Aspartam,2924.29.10,3578,3577,3,True
3578,Butylphenylmethyl carbamate; methyl isopropyl phenyl carbamate,Butilfenilmetil karbamat; metil isopropil fenil karbamat,2924.29.20,3579,3577,3,True
3579,Acetaminophen (paracetamol); salicylamide; ethoxybenzamide,Asetaminofen (parasetamol); salisilamida; etoksibenzamida,2924.29.30,3580,3577,3,True
3580,Other,Lain-lain,2924.29.90,3581,3577,3,True
3581,Carboxyimide-function compounds (including saccharin and its salts) and imine-function compounds,Senyawa berfungsi karboksiimida (termasuk sakarin dan garamnya) dan senyawa berfungsi imina,29.25,3582,0,0,False
3582,Imides and their derivatives; salts thereof,Imida dan turunannya; garamnya,,3583,3582,1,False
3583,Saccharin and its salts,Sakarin dan garamnya,2925.11.00,3584,3583,2,True
3584,Glutethimide (INN),Glutetimida (INN),2925.12.00,3585,3583,2,True
3585,Other,Lain-lain,2925.19.00,3586,3583,2,True
3586,Imines and their derivatives; salts thereof,Imina dan turunannya; garamnya,,3587,3582,1,False
3587,Chlordimeform (ISO),Klordimeform (ISO),2925.21.00,3588,3587,2,True
3588,Other,Lain-lain,2925.29.00,3589,3587,2,True
3589,Nitrile-function compounds,Senyawa berfungsi nitril,29.26,3590,0,0,False
3590,Acrylonitrile,Akrilonitril,2926.10.00,3591,3590,1,False
3591,1-Cyanoguanidine (dicyandiamide),1-Sianoguanidin (disiandiamida),2926.20.00,3592,3591,2,True
3592,"Fenproporex (INN) and its salts; methadone (INN) intermediate (4-cyano-2-dimethylamino-4, 4-diphenylbutane)","Fenproporex (INN) dan garamnya; metadona (INN) intermediat (4-siano-2-dimetilamino-4, 4-difenilbutana)",2926.30.00,3593,3590,1,True
3593,alpha-Phenylacetoacetonitrile,alfa-Penilasetoasetonitril,2926.40.00,3594,3590,1,True
3594,Other,Lain-lain,2926.90.00,3595,3590,1,True
3595,"Diazo-, azo- or azoxy-compounds","Senyawa diazo-, azo- atau azoksi",29.27,3596,0,0,False
3596,Azodicarbonamide,Azodikarbonamida,2927.00.10,3597,3596,1,True
3597,Other,Lain-lain,2927.00.90,3598,3596,1,True
3598,Organic derivatives of hydrazine or of hydroxylamine,Turunan organik dari hidrazin atau dari hidroksilamina,29.28,3599,0,0,False
3599,Linuron,Linuron,2928.00.10,3600,3599,1,True
3600,Other,Lain-lain,2928.00.90,3601,3599,1,True
3601,Compounds with other nitrogen function,Senyawa dengan fungsi nitrogen lainnya,29.29,3602,0,0,False
3602,Isocyanates,Isosianat,2929.10,3603,3602,1,False
3603,Diphenylmethane diisocyanate (MDI),Difenilmetana diisosianat (MDI),2929.10.10,3604,3603,2,True
3604,Toluene diisocyanate,Toluena diisosianat,2929.10.20,3605,3603,2,True
3605,Other,Lain-lain,2929.10.90,3606,3603,2,True
3606,Other,Lain-lain,2929.90,3607,3602,1,False
3607,Sodium cyclamate,Natrium siklamat,2929.90.10,3608,3607,2,True
3608,Other cyclamates,Siklamat lainnya,2929.90.20,3609,3607,2,True
3609,Other,Lain-lain,2929.90.90,3610,3607,2,True
3610,SUB-CHAPTER X,SUB-BAB X,,3611,0,0,True
3611,"ORGANO-INORGANIC COMPOUNDS, HETEROCYCLIC COMPOUNDS, NUCLEIC ACIDS AND THEIR SALTS, AND SULPHONAMIDES","SENYAWA ORGANO-ANORGANIK, SENYAWA HETEROSIKLIK, ASAM NUKLEAT DAN GARAMNYA, SERTA SULFONAMIDA",,3612,0,0,True
3612,Organo-sulphur compounds,Senyawa organo-belerang,29.30,3613,0,0,False
3613,Thiocarbamates and dithiocarbamates,Tiokarbamat dan ditiokarbamat,2930.20.00,3614,3613,1,True
3614,"Thiuram mono-, di- or tetrasulphides","Tiuram mono-, di- atau tetrasulfida",2930.30.00,3615,3613,1,True
3615,Methionine,Metionin,2930.40.00,3616,3613,1,False
3616,"2-(N,N-Diethylamino)ethanethiol","2-(N,N-Dietilamino)etanatiol",2930.60.00,3617,3616,2,True
3617,Bis(2-hydroxyethyl)sulfide (thiodiglycol (INN)),Bis(2-hidroksietil)sulfida (tiodiglikol (INN)),2930.70.00,3618,3613,1,True
3618,"Aldicarb (ISO), captafol (ISO) and methamidophos (ISO)","Aldikarb (ISO), kaptafol (ISO) and metamidofos (ISO)",2930.80.00,3619,3613,1,True
3619,Other,Lain-lain,2930.90,3620,3613,1,False
3620,Dithiocarbonates,Ditiokarbonat,2930.90.10,3621,3620,2,True
3621,Other,Lain-lain,2930.90.90,3622,3620,2,True
3622,Other organo-inorganic compounds,Senyawa organo-anorganik lainnya,29.31,3623,0,0,False
3623,Tetramethyl lead and tetraethyl lead,Timbal tetrametil dan timbal tetraetil,2931.10,3624,3623,1,False
3624,Tetramethyl lead,Timbal tetrametil,2931.10.10,3625,3624,2,True
3625,Tetraethyl lead,Timbal tetraetil,2931.10.20,3626,3624,2,True
3626,Tributyltin compounds,Senyawa tributiltin,2931.20.00,3627,3623,1,True
3627,Other organo-phosphorous derivatives,Turunan organo-fosfor lainnya,,3628,3623,1,False
3628,Dimethyl methylphosphonate,Dimetil metilfosfonat,2931.31.00,3629,3628,2,True
3629,Dimethyl propylphosphonate,Dimetil propilfosfonat,2931.32.00,3630,3628,2,True
3630,Diethyl ethylphosphonate,Dietil etilfosfonat,2931.33.00,3631,3628,2,True
3631,Sodium 3-(trihydroxysilyl)propyl methylphosphonate,Sodium 3-(trihidroksilil) propil metilfosfonat,2931.34.00,3632,3628,2,False
3632,"2,4,6-Tripropyl-1,3,5,2,4,6-trioxatriphosphinane 2,4,6-trioxide","2,4,6-Tripropil-1,3,5,2,4,6-trioksatrifosfinan 2,4,6-trioksida",2931.35.00,3633,3632,3,True
3633,"(5-Ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)methyl methyl methylphosphonate","(5-Etil-2-metil-2-oksido-1,3,2-dioksafosfinan-5-il)metil metil metilfosfonat",2931.36.00,3634,3632,3,True
3634,"Bis[(5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)methyl] methylphosphonate","Bis[(5-etil-2-metil-2-oksido-1,3,2-dioksafosfinan-5-il)metil] metilfosfonat",2931.37.00,3635,3628,2,True
3635,Salt of methylphosphonic acid and (aminoiminomethyl)urea (1 : 1),Garam dari asam metilfosfonat dan aminoiminometil) urea 1 :1),2931.38.00,3636,3628,2,True
3636,Other,Lain-lain,2931.39.00,3637,3628,2,True
3637,Other,Lain-lain,2931.90,3638,3623,1,False
3638,N-(phosphonomethyl) glycine and salts thereof,N-(fosfonometil) glisin dan garamnya,,3639,3638,2,False
3639,N-(phosphonomethyl) glycine,N-(fosfonometil) glisin,2931.90.21,3640,3639,3,True
